date,GSPC/HKD
2009-01-09,6906.355725622559
2009-01-12,6748.518271728515
2009-01-13,6762.474859558105
2009-01-14,6536.708874121094
2009-01-15,6548.097316210938
2009-01-16,6595.570970117187
2009-01-20,6247.460186694336
2009-01-21,6520.178300219726
2009-01-22,6420.98625
2009-01-23,6452.354709674072
2009-01-26,6490.2774308227545
2009-01-27,6561.948631488037
2009-01-28,6780.491156323243
2009-01-29,6555.328523620606
2009-01-30,6403.708381860351
2009-02-02,6400.296690930176
2009-02-03,6500.7165527099605
2009-02-04,6452.611930566406
2009-02-05,6558.382370703124
2009-02-06,6734.081890722656
2009-02-09,6743.561371557617
2009-02-10,6412.474975805664
2009-02-11,6462.985656298828
2009-02-12,6474.3093799255375
2009-02-13,6410.242676202392
2009-02-17,6119.302964483642
2009-02-18,6114.512335461425
2009-02-19,6040.368142932129
2009-02-20,5970.274560357666
2009-02-23,5763.483620507812
2009-02-24,5993.690649560546
2009-02-25,5931.799689331055
2009-02-26,5837.142820507812
2009-02-27,5700.62315826416
2009-03-02,5436.330878814698
2009-03-03,5402.476437591553
2009-03-04,5530.8018571166995
2009-03-05,5294.813275305176
2009-03-06,5299.611937866211
2009-03-09,5247.031601220703
2009-03-10,5581.0734906494135
2009-03-11,5594.218822399902
2009-03-12,5820.787440283203
2009-03-13,5865.078125366211
2009-03-16,5844.230782556153
2009-03-17,6032.219638146973
2009-03-18,6158.118750732422
2009-03-19,6077.250677685547
2009-03-20,5956.415391705323
2009-03-23,6377.629867553711
2009-03-24,6247.5105741577145
2009-03-25,6307.732813842774
2009-03-26,6454.748172473144
2009-03-27,6323.698206921387
2009-03-30,6103.4364800537105
2009-03-31,6183.81161015625
2009-04-01,6285.870132446289
2009-04-02,6466.528475842285
2009-04-03,6529.543500000001
2009-04-06,6475.136944628906
2009-04-07,6320.593960394287
2009-04-08,6395.072307867432
2009-04-09,6638.339981079102
2009-04-13,6655.586713623046
2009-04-14,6522.1299
2009-04-15,6603.72059907837
2009-04-16,6706.334495391846
2009-04-17,6739.312850793457
2009-04-20,6451.022613525391
2009-04-21,6588.800196459961
2009-04-22,6537.596760394287
2009-04-23,6602.465059552002
2009-04-24,6713.368971630859
2009-04-27,6645.78832668457
2009-04-28,6627.062211883545
2009-04-29,6770.884841528321
2009-04-30,6764.364762078857
2009-05-01,6800.9556553710945
2009-05-04,7031.291372314454
2009-05-05,7004.540285394287
2009-05-06,7126.449680053711
2009-05-07,7032.4540915283205
2009-05-08,7201.625271630859
2009-05-11,7046.7008483154295
2009-05-12,7039.984815783691
2009-05-13,6850.645043548584
2009-05-14,6921.381863763428
2009-05-15,6843.20291784668
2009-05-18,7053.345684362793
2009-05-19,7039.460545849609
2009-05-20,7003.518518896484
2009-05-21,6887.13378949585
2009-05-22,6876.2901
2009-05-26,7057.515523492431
2009-05-27,6924.519303070068
2009-05-28,7030.925171502686
2009-05-29,7125.265307556153
2009-06-01,7307.808184155274
2009-06-02,7323.152034301758
2009-06-03,7223.189947705078
2009-06-04,7305.573106323242
2009-06-05,7287.765906188965
2009-06-08,7279.837737548828
2009-06-09,7304.774873229981
2009-06-10,7279.821414245605
2009-06-11,7324.692904553222
2009-06-12,7333.506154296875
2009-06-15,7159.384004931641
2009-06-16,7068.0408639404295
2009-06-17,7058.275883294678
2009-06-18,7117.551136157227
2009-06-19,7139.440225634766
2009-06-22,6922.042173687744
2009-06-23,6937.203830786133
2009-06-24,6982.465206921387
2009-06-25,7132.199127685547
2009-06-26,7121.7508592163085
2009-06-29,7186.12507163086
2009-06-30,7124.821988763428
2009-07-01,7155.992298449707
2009-07-02,6947.344509552002
2009-07-06,6965.619004931641
2009-07-07,6828.070830053711
2009-07-08,6817.293629077149
2009-07-09,6841.299551232911
2009-07-10,6813.697102844238
2009-07-13,6983.768140386963
2009-07-14,7020.8037121459965
2009-07-15,7228.643015234375
2009-07-16,7290.828998315429
2009-07-17,7288.039075842285
2009-07-20,7371.352650842285
2009-07-21,7398.186048449707
2009-07-22,7394.519591766357
2009-07-23,7566.44258770752
2009-07-24,7589.36300168457
2009-07-27,7611.993161236572
2009-07-28,7592.6427341552735
2009-07-29,7557.412689208984
2009-07-30,7647.3125
2009-07-31,7653.068596630859
2009-08-03,7770.382537841797
2009-08-04,7793.888254211425
2009-08-05,7771.28031694336
2009-08-06,7727.669256451416
2009-08-07,7831.8261366210945
2009-08-10,7805.226230786133
2009-08-11,7706.808920776368
2009-08-12,7796.03329107666
2009-08-13,7849.366259619141
2009-08-14,7782.300162145996
2009-08-17,7593.789105615234
2009-08-18,7671.228938531493
2009-08-19,7724.059860321045
2009-08-20,7808.527780151368
2009-08-21,7953.431054846191
2009-08-24,7948.269640734863
2009-08-25,7967.4112
2009-08-26,7968.958082153321
2009-08-27,7991.538220605469
2009-08-28,7975.5455253295895
2009-08-31,7910.417334155274
2009-09-01,7735.708065692138
2009-09-02,7710.605675
2009-09-03,7776.213488305664
2009-09-04,7877.710029223633
2009-09-08,7946.977691528321
2009-09-09,8009.237484155274
2009-09-10,8092.71159753418
2009-09-11,8081.261621630859
2009-09-14,8132.489669104004
2009-09-15,8157.987800842285
2009-09-16,8282.99695168457
2009-09-17,8257.760522314453
2009-09-18,8280.073188452148
2009-09-21,8251.860526916504
2009-09-22,8305.79392890625
2009-09-23,8222.378984155273
2009-09-24,8143.9655390625
2009-09-25,8094.153913842774
2009-09-28,8238.20114663086
2009-09-29,8219.93950847168
2009-09-30,8192.475367419433
2009-10-01,7981.440295788574
2009-10-02,7945.377197265625
2009-10-05,8063.772789257813
2009-10-06,8174.185244946289
2009-10-07,8196.350417419433
2009-10-08,8257.576396630859
2009-10-09,8304.047424316406
2009-10-12,8340.579664892577
2009-10-13,8317.436683886719
2009-10-14,8463.26435336914
2009-10-15,8498.340454101562
2009-10-16,8429.520416259766
2009-10-19,8508.912555895995
2009-10-20,8455.715454101562
2009-10-21,8380.958329211426
2009-10-22,8470.162055895997
2009-10-23,8366.791850793457
2009-10-26,8268.968816577148
2009-10-27,8241.534105895997
2009-10-28,8080.591063842774
2009-10-29,8262.77883046875
2009-10-30,8030.575664892578
2009-11-02,8082.320037841797
2009-11-03,8101.927764892578
2009-11-04,8110.479649999999
2009-11-05,8266.16921184082
2009-11-06,8286.968448413087
2009-11-09,8471.369659423828
2009-11-10,8470.827575683594
2009-11-11,8513.342724682618
2009-11-12,8426.109924316406
2009-11-13,8474.469848632812
2009-11-16,8597.186308422852
2009-11-17,8605.090615734864
2009-11-18,8600.950378417969
2009-11-19,8485.475189208984
2009-11-20,8458.195037841797
2009-11-23,8572.80680432129
2009-11-24,8568.787689208984
2009-11-25,8607.604663842774
2009-11-27,8459.4840203125
2009-11-30,8491.02297484131
2009-12-01,8593.443114477539
2009-12-02,8596.388076318359
2009-12-03,8524.380340576172
2009-12-04,8571.344848632812
2009-12-07,8550.408150000001
2009-12-08,8462.862127880859
2009-12-09,8494.160096557616
2009-12-10,8543.65325078125
2009-12-11,8574.899046899414
2009-12-14,8636.023551452638
2009-12-15,8590.00329243164
2009-12-16,8599.362038415527
2009-12-17,8501.415355151366
2009-12-18,8551.859562744141
2009-12-21,8639.458128662109
2009-12-22,8670.13344946289
2009-12-23,8688.494299987793
2009-12-24,8736.528136523439
2009-12-28,8745.934127197266
2009-12-29,8733.117521362305
